code,onset,offset,code.value
transcribe,00:13:05.863,00:13:06.363,"m,no?"
transcribe,00:13:11.240,00:13:11.740,"b,c"
transcribe,00:13:12.326,00:13:12.826,"b,c"
transcribe,00:13:13.163,00:13:13.663,"b,c"
transcribe,00:13:14.216,00:13:14.716,"b,c"
transcribe,00:13:15.628,00:13:16.128,"b,c"
transcribe,00:13:19.069,00:13:19.569,"b,b"
transcribe,00:13:19.936,00:13:20.436,"m,heh"
transcribe,00:13:25.470,00:13:25.970,"m,are you gonna take your cheese hat off?"
transcribe,00:13:27.234,00:13:27.734,"m,whoop"
transcribe,00:13:27.593,00:13:28.093,"b,mom"
transcribe,00:13:28.629,00:13:29.129,"m,wow"
transcribe,00:13:34.475,00:13:34.975,"m,you wanna play xxx?"
transcribe,00:14:07.348,00:14:07.848,"m,huh"
transcribe,00:14:15.750,00:14:16.250,"m,huh"
transcribe,00:14:16.789,00:14:17.289,"b,b"
transcribe,00:14:26.942,00:14:27.442,"b,yeah"
transcribe,00:14:27.392,00:14:27.892,"m,yeah"
transcribe,00:14:28.353,00:14:28.853,"b,b"
transcribe,00:14:29.081,00:14:29.581,"m,hehehe"
transcribe,00:14:30.587,00:14:31.087,"b,b"
transcribe,00:14:33.345,00:14:33.845,"m,yay"
transcribe,00:14:37.702,00:14:38.202,"b,get in"
transcribe,00:14:38.552,00:14:39.052,"b,b"
transcribe,00:14:40.164,00:14:40.664,"b,hat"
transcribe,00:14:41.435,00:14:41.935,"m,hehe"
transcribe,00:14:43.809,00:14:44.309,"m,what are you doing?"
transcribe,00:14:44.273,00:14:44.773,"b,cheese"
transcribe,00:14:44.908,00:14:45.408,"b,yeah"
transcribe,00:14:46.816,00:14:47.316,"b,b"
transcribe,00:14:52.458,00:14:52.958,"b,yeah"
transcribe,00:14:57.912,00:14:58.412,"b,uh oh"
transcribe,00:14:59.043,00:14:59.543,"m,what's uh oh?"
transcribe,00:15:09.167,00:15:09.667,"b,uh oh"
transcribe,00:15:13.040,00:15:13.540,"m,what are you doing?"
transcribe,00:15:14.094,00:15:14.594,"m,don't draw on that silly"
transcribe,00:15:15.614,00:15:16.114,"b,b"
transcribe,00:15:22.293,00:15:22.793,"b,c"
